"module";"in-edges";"out-edges"
"acktesting.__init___0_0.f";"1";"2"
"pycompat.__init___0_0.f";"2";"0"
"ommatrixlib.__init___0_0.f";"1";"2"
"lib_core.test_regression.OldSqueeze_0_0.f";"0";"1"
"typingtests.simple_py3_0_0.f";"1";"0"
"om_typing._char_codes_0_0.f";"40";"80"
"om_typing._shape_0_0.f";"2";"5"
"omlib._iotools.NameValidator_0_0.f";"2";"4"
"omlib._iotools.StringConverter_0_0.f";"3";"6"
"tedistutils.ccompiler_opt._CCompiler_0_0.f";"4";"8"
"lib_core.arrayprint.ComplexFloatingFormat_0_0.f";"3";"6"
"om_typing._extended_precision_0_0.f";"11";"22"
"tedistutils.f";"1";"2"
"omma.timer_comparison.ModuleTester_0_0.f";"26";"52"
"tedistutils.misc_util.Configuration_0_0.f";"11";"22"
"omlib._utils_impl._Deprecate_0_0.f";"2";"4"
"omlib._npyio_impl.WriteWrap_0_0.f";"2";"4"
"lib_core.getlimits.MachArLike_0_0.f";"19";"38"
"tedistutils.intelccompiler.IntelEM64TCCompilerW_0_0.f";"1";"2"
"om_typing._scalars_0_0.f";"10";"40"
"omtests.test_subclassing.CSAIterator_0_0.f";"1";"2"
"omlib._version.NumpyVersion_0_0.f";"6";"12"
"f2py_backends._meson.MesonTemplate_0_0.f";"10";"20"
"omlib._polynomial_impl.poly1d_0_0.f";"3";"7"
"tedistutils.mingw32ccompiler.Mingw32CCompiler_0_0.f";"2";"4"
"om_typing._nbit_0_0.f";"10";"20"
"tedistutils.ccompiler_opt.CCompilerOpt_0_0.f";"3";"6"
"tedistutils.intelccompiler.IntelEM64TCCompiler_0_0.f";"3";"6"
"tedistutils.extension.Extension_0_0.f";"9";"18"
"omma.core._MaskedUnaryOperation_0_0.f";"3";"6"
"tedistutils.ccompiler_opt._Feature_0_0.f";"3";"6"
"lib_core.arrayprint.SubArrayFormat_0_0.f";"2";"4"
"omlib._iotools.LineSplitter_0_0.f";"4";"8"
"lib_core.arrayprint.FloatingFormat_0_0.f";"4";"8"
"lib_core._ufunc_config.errstate_0_0.f";"5";"10"
"f2py_backends._meson.MesonBackend_0_0.f";"2";"4"
"lib_core.arrayprint.DatetimeFormat_0_0.f";"3";"6"
"py_utils._pep440.LegacyVersion_0_0.f";"1";"2"
"omlib._npyio_impl.NpzFile_0_0.f";"6";"12"
"omlib._arrayterator_impl.Arrayterator_0_0.f";"4";"8"
"f2py_backends._backend.Backend_0_0.f";"15";"30"
"tedistutils.ccompiler_opt._Cache_0_0.f";"3";"6"
"lif2py.symbolic._Pair_0_0.f";"1";"2"
"tedistutils.misc_util.InstallableLib_0_0.f";"2";"4"
"tedistutils.armccompiler.ArmCCompiler_0_0.f";"1";"2"
"lib_core.getlimits.iinfo_0_0.f";"2";"4"
"numpy.polynomial._polybase.ABCPolyBase_0_0.f";"2";"4"
"omlib._function_base_impl.vectorize_0_0.f";"5";"10"
"omma.core._convert2ma_0_0.f";"2";"4"
"tedistutils.cpuinfo.DarwinCPUInfo_0_0.f";"2";"5"
"omlib._index_tricks_impl.AxisConcatenator_0_0.f";"3";"6"
"lib_core._exceptions._ArrayMemoryError_0_0.f";"1";"2"
"f2pytests.test_array_from_pyobj.Array_0_0.f";"7";"14"
"omma.core._MaskedUFunc_0_0.f";"2";"4"
"distutilstests.test_exec_command.redirect_stdout_0_0.f";"1";"3"
"tedistutils.cpuinfo.SunOSCPUInfo_0_0.f";"2";"5"
